Unnamed: 0,raw_data,date,price,percent,district,small_district
0,"2011年12月房价
39416元/㎡
71.38%↑
龙岗
nanao",2011年12月房价,39416元/㎡,71.38%↑,龙岗,nanao
1,"2011年11月房价
22999元/㎡
12.32%↑
龙岗
nanao",2011年11月房价,22999元/㎡,12.32%↑,龙岗,nanao
2,"2011年10月房价
20476元/㎡
34.13%↓
龙岗
nanao",2011年10月房价,20476元/㎡,34.13%↓,龙岗,nanao
3,"2011年09月房价
31085元/㎡
57.83%↓
龙岗
nanao",2011年09月房价,31085元/㎡,57.83%↓,龙岗,nanao
4,"2011年08月房价
73722元/㎡
38.42%↑
龙岗
nanao",2011年08月房价,73722元/㎡,38.42%↑,龙岗,nanao
5,"2011年07月房价
53258元/㎡
31.99%↓
龙岗
nanao",2011年07月房价,53258元/㎡,31.99%↓,龙岗,nanao
6,"2011年06月房价
78311元/㎡
0.8%↓
龙岗
nanao",2011年06月房价,78311元/㎡,0.8%↓,龙岗,nanao
7,"2011年05月房价
78940元/㎡
3.57%↓
龙岗
nanao",2011年05月房价,78940元/㎡,3.57%↓,龙岗,nanao
8,"2011年04月房价
81864元/㎡
0.57%↑
龙岗
nanao",2011年04月房价,81864元/㎡,0.57%↑,龙岗,nanao
9,"2011年03月房价
81397元/㎡
14.43%↑
龙岗
nanao",2011年03月房价,81397元/㎡,14.43%↑,龙岗,nanao
10,"2011年02月房价
71134元/㎡
13.38%↓
龙岗
nanao",2011年02月房价,71134元/㎡,13.38%↓,龙岗,nanao
11,"2011年01月房价
82126元/㎡
3.96%↓
龙岗
nanao",2011年01月房价,82126元/㎡,3.96%↓,龙岗,nanao
0,"2019年12月房价
45755元/㎡
0.3%↓
罗湖
honghu",2019年12月房价,45755元/㎡,0.3%↓,罗湖,honghu
1,"2019年11月房价
45893元/㎡
0.85%↓
罗湖
honghu",2019年11月房价,45893元/㎡,0.85%↓,罗湖,honghu
2,"2019年10月房价
46285元/㎡
0.1%↑
罗湖
honghu",2019年10月房价,46285元/㎡,0.1%↑,罗湖,honghu
3,"2019年09月房价
46240元/㎡
5.02%↑
罗湖
honghu",2019年09月房价,46240元/㎡,5.02%↑,罗湖,honghu
4,"2019年08月房价
44031元/㎡
4.1%↓
罗湖
honghu",2019年08月房价,44031元/㎡,4.1%↓,罗湖,honghu
5,"2019年07月房价
45914元/㎡
4.26%↑
罗湖
honghu",2019年07月房价,45914元/㎡,4.26%↑,罗湖,honghu
6,"2019年06月房价
44039元/㎡
4.25%↓
罗湖
honghu",2019年06月房价,44039元/㎡,4.25%↓,罗湖,honghu
7,"2019年05月房价
45994元/㎡
0.22%↓
罗湖
honghu",2019年05月房价,45994元/㎡,0.22%↓,罗湖,honghu
8,"2019年04月房价
46098元/㎡
4.47%↓
罗湖
honghu",2019年04月房价,46098元/㎡,4.47%↓,罗湖,honghu
9,"2019年03月房价
48254元/㎡
1.6%↓
罗湖
honghu",2019年03月房价,48254元/㎡,1.6%↓,罗湖,honghu
10,"2019年02月房价
49040元/㎡
4.86%↑
罗湖
honghu",2019年02月房价,49040元/㎡,4.86%↑,罗湖,honghu
11,"2019年01月房价
46768元/㎡
1.95%↓
罗湖
honghu",2019年01月房价,46768元/㎡,1.95%↓,罗湖,honghu
0,"2016年12月房价
62963元/㎡
1.47%↓
福田
jingtian",2016年12月房价,62963元/㎡,1.47%↓,福田,jingtian
1,"2016年11月房价
63903元/㎡
1.33%↓
福田
jingtian",2016年11月房价,63903元/㎡,1.33%↓,福田,jingtian
2,"2016年10月房价
64767元/㎡
2.16%↑
福田
jingtian",2016年10月房价,64767元/㎡,2.16%↑,福田,jingtian
3,"2016年09月房价
63399元/㎡
2.29%↑
福田
jingtian",2016年09月房价,63399元/㎡,2.29%↑,福田,jingtian
4,"2016年08月房价
61981元/㎡
0.52%↓
福田
jingtian",2016年08月房价,61981元/㎡,0.52%↓,福田,jingtian
5,"2016年07月房价
62307元/㎡
0.71%↑
福田
jingtian",2016年07月房价,62307元/㎡,0.71%↑,福田,jingtian
6,"2016年06月房价
61864元/㎡
3.78%↓
福田
jingtian",2016年06月房价,61864元/㎡,3.78%↓,福田,jingtian
7,"2016年05月房价
64298元/㎡
0.81%↓
福田
jingtian",2016年05月房价,64298元/㎡,0.81%↓,福田,jingtian
8,"2016年04月房价
64823元/㎡
0.78%↓
福田
jingtian",2016年04月房价,64823元/㎡,0.78%↓,福田,jingtian
9,"2016年03月房价
65330元/㎡
3.57%↑
福田
jingtian",2016年03月房价,65330元/㎡,3.57%↑,福田,jingtian
10,"2016年02月房价
63076元/㎡
4.39%↑
福田
jingtian",2016年02月房价,63076元/㎡,4.39%↑,福田,jingtian
11,"2016年01月房价
60426元/㎡
9.7%↑
福田
jingtian",2016年01月房价,60426元/㎡,9.7%↑,福田,jingtian
0,"2019年12月房价
31384元/㎡
9.91%↓
龙岗
kuiyongw",2019年12月房价,31384元/㎡,9.91%↓,龙岗,kuiyongw
1,"2019年11月房价
34836元/㎡
1.33%↓
龙岗
kuiyongw",2019年11月房价,34836元/㎡,1.33%↓,龙岗,kuiyongw
2,"2019年10月房价
35307元/㎡
1.02%↓
龙岗
kuiyongw",2019年10月房价,35307元/㎡,1.02%↓,龙岗,kuiyongw
3,"2019年09月房价
35670元/㎡
1.11%↑
龙岗
kuiyongw",2019年09月房价,35670元/㎡,1.11%↑,龙岗,kuiyongw
4,"2019年08月房价
35278元/㎡
9.13%↓
龙岗
kuiyongw",2019年08月房价,35278元/㎡,9.13%↓,龙岗,kuiyongw
